Name,Article_ID_x,Date_x,repeat_x,Article_ID_y,Date_y,repeat_y,career_length,Gender
Aarti Singh,6772987,2020-03-31,True,6631706,2020-04-16,True,16 days,F
Abbe Mowshowitz,6629835,2020-04-01,True,6796786,2020-09-24,True,176 days,F
Abha Aggarwal,6726836,2021-02-17,True,6642803,2021-09-16,True,211 days,F
Abigail Morrison,6627529,2020-05-28,True,6628283,2022-10-02,True,857 days,F
Abigail Sellen,6598090,2020-06-05,True,6697328,2022-11-13,True,891 days,F
Abir Mchergui,6781360,2020-10-26,True,6784659,2021-04-09,True,165 days,F
Abir Smiti,6693007,2020-02-19,True,6567835,2020-04-08,True,49 days,F
Ada Fort,6811477,2020-05-22,True,6599747,2022-12-07,True,929 days,F
Ada M. Alvarez,6709592,2019-10-19,True,6794964,2020-06-08,True,233 days,F
Ada Scupola,6613108,2020-05-27,True,6651260,2022-10-02,True,858 days,F
Adalet Dervisoglu,6719278,2021-10-25,True,6718838,2022-02-14,True,112 days,F
Adda Ali-Pacha,6655216,2021-05-11,True,6783306,2021-09-01,True,113 days,F
Adela Bâra,6694869,2021-10-14,True,6696272,2022-12-07,True,419 days,F
Adelaida Lillo-Bañuls,6736243,2017-06-06,True,6738224,2017-06-14,True,8 days,F
Adelaide Freitas,6626551,2020-05-10,True,6634441,2022-10-02,True,875 days,F
Adele Caldarelli,6656584,2020-10-08,True,6655741,2022-10-02,True,724 days,F
Adele De Ninno,6761812,2021-10-14,True,6761401,2022-08-16,True,306 days,F
Adele H. Marshall,6792599,2021-10-14,True,6794717,2022-10-27,True,378 days,F
Adelinde M. Uhrmacher,6646006,2020-03-06,True,6575776,2021-02-17,True,348 days,F
Aditi Bajaj,6683831,2020-10-20,True,6685086,2020-10-26,True,6 days,F
Aditi Kiran Rane,6609432,2020-06-08,True,6604052,2020-10-26,True,140 days,F
Adriana Caione,6619468,2016-08-04,True,6724815,2020-04-16,True,1351 days,F
Adriana Caterina Camilleri,6613941,2020-03-10,True,6613804,2022-12-05,True,1000 days,F
Adriana Cristina Cherri,6586139,2021-04-07,True,6792597,2021-12-25,True,262 days,F
Adriana Dapena,6582631,2020-03-12,True,6678708,2020-08-25,True,166 days,F
Adriana Dumitras,6582231,2020-03-12,True,6674876,2020-08-25,True,166 days,F
Adriana Hansberg,6664829,2020-10-02,True,6664733,2021-04-29,True,209 days,F
Adriana J. Berlanga,6667579,2020-07-09,True,6650153,2022-05-17,True,677 days,F
Adriana Santarosa Vivacqua,6740211,2017-05-26,True,6789647,2021-02-26,True,1372 days,F
Adriana Tapus,6776418,2017-05-18,True,6679849,2020-02-24,True,1012 days,F
Adriana Vial Roehe,6736875,2021-10-29,True,6716363,2022-10-02,True,338 days,F
Agata Ciabattoni,6577560,2020-10-26,True,6569543,2022-10-02,True,706 days,F
Agnese Sbrollini,6686763,2021-07-29,True,6683759,2022-11-09,True,468 days,F
Agneta Gulz,6633612,2020-09-29,True,6633571,2021-05-14,True,227 days,F
Agnieszka Rusinowska,6804740,2017-05-26,True,6804897,2021-03-24,True,1398 days,F
Agnieszka Rutkowska,6626057,2020-05-10,True,6625263,2021-10-14,True,522 days,F
Agnieszka Wiszniewska-Matyszkiel,6805174,2017-06-06,True,6655066,2020-08-25,True,1176 days,F
Agustina D'Jorge,6563816,2022-10-02,True,6562114,2022-12-06,True,65 days,F
Ahlam Azzamouri,6586973,2021-04-07,True,6585558,2021-09-20,True,166 days,F
Ai Hui Tan,6564429,2020-02-24,True,6600297,2020-06-08,True,105 days,F
Aicha Znidi,6653671,2021-03-18,True,6653235,2022-07-25,True,494 days,F
Aida Amini Motlagh,6781516,2021-10-14,True,6781818,2022-02-08,True,117 days,F
Aida Vitória,6773277,2017-05-20,True,6773284,2021-01-06,True,1327 days,F
Aikaterini K. Kalou,6765099,2020-07-16,True,6700213,2021-01-07,True,175 days,F
Aikaterini Karanasiou,6577830,2020-09-05,True,6572426,2021-04-09,True,216 days,F
Airi Lampinen,6598473,2020-06-05,True,6774463,2020-12-29,True,207 days,F
Akemi Gálvez,6711483,2018-11-14,True,6750980,2020-03-06,True,478 days,F
Akemi Takeoka Chatfield,6579833,2020-08-12,True,6622714,2020-08-25,True,13 days,F
Aki Härmä,6580567,2020-03-12,True,6681501,2021-12-15,True,643 days,F
Ala I. Al-Fuqaha,6714748,2018-11-14,True,6694770,2021-10-14,True,1065 days,F
