,Years,Ratio_Women_to_TotalContributers
0,1959,0.0
1,1960,0.0
2,1961,0.0
3,1962,0.0
4,1963,0.0
5,1964,0.021276595744680854
6,1965,0.011627906976744188
7,1966,0.021276595744680854
8,1967,0.009900990099009901
9,1968,0.008695652173913042
10,1969,0.00819672131147541
11,1970,0.02654867256637168
12,1971,0.05084745762711865
13,1972,0.026315789473684213
14,1973,0.04433497536945813
15,1974,0.030927835051546396
16,1975,0.04790419161676646
17,1976,0.02950819672131148
18,1977,0.06277056277056278
19,1978,0.07065217391304347
20,1979,0.0440771349862259
21,1980,0.055900621118012424
22,1981,0.05191873589164785
23,1982,0.09546925566343042
24,1983,0.07037037037037037
25,1984,0.08139534883720931
26,1985,0.10333863275039747
27,1986,0.11251980982567354
28,1987,0.09387755102040816
29,1988,0.10456553755522828
30,1989,0.1318181818181818
31,1990,0.09698275862068965
32,1991,0.09515859766277128
33,1992,0.1034201954397394
34,1993,0.09795918367346937
35,1994,0.12313937753721245
36,1995,0.12605042016806722
37,1996,0.12216494845360824
38,1997,0.13085539714867617
39,1998,0.12463450292397663
40,1999,0.117157712305026
41,2000,0.12931965442764579
42,2001,0.1441105505593332
43,2002,0.13758132414848834
44,2003,0.14636224228999828
45,2004,0.14830583643782153
46,2005,0.15342019543973942
47,2006,0.16902255639097744
48,2007,0.1629874421678784
49,2008,0.17084482326397593
50,2009,0.1788810086682427
51,2010,0.17927302670274087
52,2011,0.18490759753593428
53,2012,0.18319587628865977
54,2013,0.18496997869455745
55,2014,0.19275258470672538
56,2015,0.19549574806092887
57,2016,0.19802265310040312
58,2017,0.2108626198083067
59,2018,0.2072513473787359
60,2019,0.2128622469233823
61,2020,0.2213843052340775
62,2021,0.23121840062664673
63,2022,0.2202896138482024
64,2023,0.21619047619047616
65,2024,0.22856147003458727
66,2025,0.23225537439469157
67,2026,0.23594927875479588
68,2027,0.23964318311490018
69,2028,0.2433370874750045
70,2029,0.2470309918351088
71,2030,0.2507248961952131
72,2031,0.2544188005553183
73,2032,0.2581127049154226
74,2033,0.2618066092755269
75,2034,0.2655005136356312
76,2035,0.2691944179957355
77,2036,0.2728883223558398
78,2037,0.2765822267159441
79,2038,0.28027613107604843
80,2039,0.28397003543615273
81,2040,0.28766393979625704
82,2041,0.29135784415636135
83,2042,0.29505174851646565
